Startup Name,Industry,Investors,Funding Amount (Cr),Location,Date
OYO,Hospitality,SoftBank,1500,Bangalore,2019-06-15
Paytm,Fintech,Alibaba,1200,Noida,2020-01-20
Byju's,EdTech,Tencent,1000,Bangalore,2018-09-10
Zomato,FoodTech,Sequoia,800,Gurgaon,2021-03-12
Flipkart,E-Commerce,Tiger Global,950,Bangalore,2019-11-30
Swiggy,FoodTech,Accel,600,Bangalore,2020-07-25
Razorpay,Fintech,Sequoia,500,Bangalore,2021-05-10
PhonePe,Fintech,Google,700,Bangalore,2021-09-05
Urban Company,Service,Tiger Global,450,Delhi,2020-12-18
Delhivery,Logistics,SoftBank,400,Gurgaon,2019-08-22
